turns, 8
understand 8
us. 8
wanted 8
why 8
window. 8
wouldn't 8
---------------------------------------FADE 7
Be 7
CLOSE 7
CORLEONE. 7
Church. 7
Everyone 7
Family 7
Go 7
Godfather, 7
HAGEN, 7
Her 7
IN 7
LUCY 7
Maybe 7
NURSE 7
OK, 7
OUT--------- 7
ROCCO 7
SANDRA 7
SONNY. 7
Sicilian 7
So 7
Sunday 7
There's 7
VILLA 7
We'll 7
Yes, 7
anymore. 7
arm 7
bed 7
blood. 7
bring 7
carry 7
close 7
cold 7
day 7
dials 7
distance 7
door; 7
drives 7
eat 7
family, 7
feet 7
friends 7
gate 7
girl 7
gonna 7
group 7
gun. 7
hair 7
hang 7
heard 7
home. 7
inside 7
is. 7
keep 7
leans 7
on. 7
others 7
own 7
part 7
past 7
peeks 7
piece 7
playing 7
police 7
reaches 7
real 7
red 7
right. 7
running 7
runs 7
shakes 7
shot 7
single 7
smile 7
smiles 7
sound 7
streets 7
such 7
tears 7
then, 7
they're 7
told 7
tonight. 7
too. 7
try 7
turn 7
various 7
wait. 7
we're 7
wife 7
window 7
window, 7
wish 7
(pause) 6
--------------------------------------DISSOLVE---------- 6
America. 6
American 6
Christ, 6
DON, 6
Godfather 6
HAGEN's 6
Italian 6
KITCHEN 6
MAN, 6
MEN. 6
SEVERAL 6
SONNY, 6
Slowly 6
Turk 6
Understood? 6
Yes. 6
across 6
alone. 6
apartment 6
apartment. 6
beautiful 6
bed, 6
bed. 6
both 6
bottle 6
buy 6
covered 6
dead 6
dead. 6
doing 6
driving 6
drops 6
eh? 6
face, 6
face; 6
father. 6
fifteen 6
finally 6
finger 6
floor. 6
friend. 6
hard 6
holding 6
hope 6
hurries 6
indicates 6
jacket. 6
kept 6
kitchen, 6
leaving 6
lets 6
lifts 6
light 6
meeting 6
merely 6
might 6
morning. 6
mouth. 6
nothing 6
on, 6
out? 6
protect 6
quiet 6
returns 6
room; 6
seat. 6
seen 6
set 6
show 6
sick 6
start 6
stationed 6
stops, 6
street 6
these 6
thousand 6
throws 6
watches 6
water 6
wears 6
went 6
windows 6
wrapped 6
you've 6
(a 5
BODY 5
Brasi 5
CONNIE'S 5
Can 5
Christmas 5
Clemenza 5
Corleone, 5
DUSK: 5
ENZO 5
Even 5
FLAMINGO 5
FUNERAL 5
Freddie 5
From 5
GATTO 5
GENCO 5
Good. 5
Have 5
Hey 5
LAMPONE. 5
Long 5
MAMA, 5
MATTRESS 5
Main 5
Michael... 5
Mike 5
Moe 5
OUR 5
PAULIE'S 5
PAULIE. 5
Paulie. 5
SOLLOZZO'S 5
STAIRS 5
STREET 5
She's 5
Sollozzo. 5
Sure. 5
Then, 5
They're 5
Things 5
Tom. 5
VOICE 5
WAITER 5
Will 5
Yeah. 5
alive. 5
all. 5
approaches 5
around. 5
arrange 5
barely 5
bathroom 5
begin 5
between 5
body 5
bridal 5
calling 5
car; 5
carefully 5
cars, 5
cars. 5
catch 5
center 5
checks 5
children, 5
clear 5
coin 5
corner 5
corner, 5
crosses 5
daughter 5
days 5
desk 5
direction 5
done 5
doors 5
down. 5
drive 5
driver's 5
drop 5
either 5
end 5
enter 5
enters, 5
every 5
everyone 5
exits 5
father, 5
fear 5
feel 5
follows 5
food 5
formal 5
friend, 5
funeral 5
go. 5
guarantee 5
hair. 5
having 5
he'll 5
huge 5
impressive 5
in, 5
inside. 5
late. 5
locked 5
may 5
me? 5
money. 5
name 5
notice 5
off, 5
offer 5
office 5
open, 5
open. 5
over, 5
people. 5
phone. 5
phone; 5
putting 5
quiet. 5
refuse 5
remember 5
rises 5
rises, 5
rows 5
run 5
rushes 5
safe 5
says 5
seat, 5
sign 5
six 5
smoking 5
someone 5
speak 5
speeds 5
stop 5
strange 5
that's 5
that? 5
thinking 5
this. 5
tight 5
together. 5
tomorrow 5
took 5
up; 5
upon 5
use 5
walks, 5
wall 5
war 5
wasn't 5
watch 5
well. 5
whispers 5
windows. 5
wine 5
wine. 5
wooden 5
(click) 4
(frightened) 4
(softly) 4
(whispered) 4
--------------------------------------FADE 4
AT 4
AZURA 4
After 4
BODYGUARDS. 4
CARLO. 4
CLEMENZA'S 4
CO. 4
CORLEONE, 4
CORPSE 4
COURTYARD 4
Christmas. 4
City 4
Clemenza's 4
Come 4
Consigliere, 4
Five 4
HE 4
HOUSE 4
He'll 4
I'd 4
LUCA's 4
LUNA 4
Luca. 4
MICHAEL'S 4
MOTEL 4
MOVING 4
Mall 4
McCluskey's 4
Michael's 4
Michael? 4
Nobody 4
OK. 4
OTHER 4
OUT---------- 4
PARLOR 4
POLICE 4
Paulie 4
Paulie, 4
Pop 4
RESTAURANT 4
ROAD 4
SEES: 4
SHEPHERDS 4
SOLLOZZO, 4
SOLLOZZO. 4
SUITE 4
Santino 4
Santino. 4
Silence. 4
Sollozzo, 4
Suddenly, 4
Sure, 4
TATTAGLIA, 4
TESSIO. 4
Tattaglias 4
These 4
VILLAGE 4
WHAT 4
WIFE 4
We're 4
Where 4
Where's 4
With 4
Without 4
York. 4
accompanied 4
actually 4
again, 4
ago. 4
answer. 4
arm. 4
asking 4
back, 4
backs 4
bastard 4
become 4
beginning 4
blood, 4
body. 4
bodyguards 4
bows 4
boy 4
bread 4
brings 4
brother, 4
brought 4
building 4
by. 4
cake 4
came 4
candles. 4
chair, 4
child. 4
children 4
choice. 4
cigarette 4
cigarette. 4
city. 4
clearly 4
coffee 4
concerned. 4
contacts 4
corner. 4
country. 4
courtyard 4
courtyard, 4
darkened 4
daughter's 4
deal, 4
difficult 4
dinner. 4
disappear 4
do? 4
dollar 4
dollars 4
down; 4
drink. 4
during 4
else 4
embrace 4
embraces 4
empty. 4
enough 4
enters. 4
entire 4
exit 4
expression 4
eyes, 4
fall 4
family? 4
fifty 4
fight 4
floor 4
flower 4
flowers 4
footsteps 4
found 4
frozen 4
fruit. 4
gambling 4
garden 4
gift 4
girls 4
given 4
ground, 4
happen. 4
head, 4
head. 4
help. 4
her; 4
here? 4
herself 4
hesitates 4
hesitates, 4
hide 4
hold 4
house, 4
immediately 4
incredible 4
indicating 4
jacket, 4
jaw 4
kick 4
kids 4
kids. 4
kitchen. 4
know. 4
known 4
large, 4
laughing. 4
leave. 4
letter 4
light. 4
line 4
lit 4
longer 4
look. 4
lovely 4
made. 4
massive 4
men. 4
million 4
minutes. 4
misfortune. 4
mixed 4
money 4
months 4
more. 4
needed 4
neon 4
next 4
night 4
nods, 4
nose 4
nothing. 4
number 4
obviously 4
older 4
olive 4
one. 4
out; 4
outside. 4
over. 4
papers. 4
pass 4
pass. 4
permission 4
picks 4
place. 4
play 4
pours 4
pull 4
pulled 4
pulling 4
quite 4
rather 4
really 4
recognize 4
refused 4
remains 4
respect 4
respectful 4
restaurant, 4
rich 4
rid 4
ring 4
same 4
second 4
service. 4
shirt 4
short 4
silk 4
simple 4
smiles. 4
somebody 4
son. 4
soon 4
speak. 4
step 4
streets. 4
swear 4
swings 4
telephone 4
thinks 4
thrown 4
together 4
tomato 4
touch 4
veal 4
walking 4
war. 4
warm 4
watching 4
weeping 4
well 4
whispering 4
whole 4
wine, 4
worried 4
worry 4
you'd 4
you'll 4
"I 3
& 3
(furious) 3
(with 3
- 3
APT. 3
Also 3
America 3
America! 3
Avenue 3
BOY 3
BRASI 3
BRUNO 3
BUILDING 3
Barzini. 3
Because 3
Believe 3
Brasi. 3
Brooklyn 3
Bruno 3
By 3
CARLO'S 3
CHILDREN 3
CLEMENZA. 3
CONNIE's 3
Carlo? 3
Connie 3
Connie, 3
Connie. 3
Consigliere. 3
DINING 3
Did 3
ENZO's 3
Each 3
Enzo, 3
FREDDIE, 3
FREDO, 3
FULL 3
Fabrizzio 3
Fifth 3
GODFATHER 3
GODFATHER. 3
GUARDS 3
GUESTS 3
GUNMEN 3
Genco, 3
Give 3
Great 3
Hagen. 3
Hampshire. 3
Hey, 3
Hollywood 3
JACK 3
Johnny. 3
KAY, 3
KAY. 3
Kay 3
Kay, 3
LAMPONE, 3
LIMO 3
MALL. 3
MAN. 3
MANAGER 3
MANCINI 3
MICHAEL) 3
Make 3
Mall; 3
Mama, 3
McCluskey 3
NERI, 3
NERI. 3
OF 3
Occasionally, 3
Only 3
Outside 3
Please 3
Police 3
Put 3
Quickly, 3
SANDRA, 3
SOLLOZZO's 3
Send 3
Slowly, 3
Sonny? 3
St. 3
TATTAGLIA 3
TESSIO, 3
THERESA, 3
Tattaglias. 3
Tessio's 3
They'll 3
Two 3
UPSTAIRS 3
Understood. 3
WOLTZ, 3
WOMEN 3
Wedding 3
What's 3
Yeah 3
York, 3
You've 3
able 3
absolutely 3
accept 3
ago 3
air, 3
alone, 3
answers. 3
anxious 3
anybody 3
anymore, 3
anything. 3
appear 3
area. 3
arrangements. 3
balcony 3
bedroom 3
bedroom. 3
beside 3
best 3
better. 3
bill 3
bit 3
bleeding 3
blinds 3
blinds. 3
bodyguards. 3
booth, 3
booths 3
boss 3
bouncing 3
break 3
breaks 3
breath, 3
breathing 3
bright 3
brother 3
building, 3
bulging 3
busy. 3
button 3
calls 3
calms 3
can. 3
card 3
cards 3
cash 3
chairs 3
change 3
check 3
choose 3
city 3
climbs 3
coming. 3
completely 3
couldn't 3
counting 3
countless 3
cross 3
crowd, 3
cut 3
dancing 3
dark, 3
daughter. 3
dead, 3
deal 3
death. 3
deliberately, 3
did. 3
dinner 3
dinner, 3
dirt 3
disturbed. 3
dries 3
drink 3
driving. 3
drugs. 3
ear. 3
early 3
elevator 3
empty, 3
entrance 3
equipment. 3
excuse 3
extends 3
faces 3
family's 3
far 3
fast 3
father? 3
favor 3
figure 3
fill 3
filled 3
finish 3
finishes 3
fire 3
fires 3
first. 3
flash 3
flies 3
flowered 3
flowers. 3
follow 3
following 3
forget 3
friends. 3
frightened. 3
further 3
gaily 3
garrote 3
gate, 3
gave 3
gazing 3
glasses 3
go, 3
goin' 3
going? 3
gold 3
good. 3
grave 3
greets 3
grim 3
grotesque 3
guarding 3
guess 3
guinea 3
guns 3
guy 3
hallway, 3
hand; 3
handkerchief. 3
hands) 3
handsome 3
happen 3
happened 3
happening, 3
happy 3
hat 3
hat, 3
hears 3
heavy 3
held 3
high 3
him? 3
himself) 3
himself. 3
hits 3
hitting 3
hospital. 3
hour 3
hours 3
huddled 3
hundreds 3
husband. 3
important 3
impossible 3
including 3
it; 3
jacket 3
job 3
kid, 3
kid. 3
killing 3
kind 3
kiss 3
knew 3
knocking 3
laughs 3
lawyer 3
leads 3
leaning 3
leaps 3
learned 3
least 3
leaves; 3
left, 3
lessons! 3
lies 3
limousines 3
lock 3
lose 3
loses 3
lost 3
lousy 3
making 3
man's 3
man; 3
marked 3
matter 3
me... 3
mean 3
means 3
middle 3
minute. 3
mouth 3
much. 3
music 3
narcotics 3
neck. 3
notebook. 3
numbers 3
occasional 3
occasionally 3
off; 3
oil 3
orange 3
out) 3
owe 3
paces 3
paper. 3
particular 3
party. 3
passes 3
pause) 3
peppers, 3
per 3
perhaps 3
person 3
personal, 3
personal. 3
pink 3
plant 3
plate 3
plays 3
please 3
present 3
private 3
proceeds 3
procession 3
protection 3
purple 3
purse 3
purse. 3
pushes 3
quickly, 3
quickly. 3
quietly. 3
read 3
receive 3
red. 3
refuse. 3
relief. 3
relieved. 3
renounce 3
respect. 3
respects 3
rest 3
restaurant 3
ribbon 3
right? 3
rings 3
road. 3
rolling 3
say. 3
say? 3
saying 3
scared 3
scream 3
searching 3
seat 3
see. 3
sent 3
sentimental 3
service 3
settles 3
several 3
share 3
shoulder. 3
shoulders. 3
show. 3
showing 3
side, 3
side. 3
sister 3
smiles, 3
smiling 3
son, 3
sons 3
spaghetti. 3
special 3
speeding 3
spread 3
stack 3
stairs, 3
steps, 3
stone 3
stopped 3
straighten 3
strength. 3
strong 3
style. 3
subway 3
suite. 3
suppose 3
supposed 3
tables 3
talk. 3
talked 3
tape 3
telephone. 3
thank 3
that, 3
there's 3
thick 3
thing 3
this? 3
thousands 3
throat. 3
tie 3
time, 3
tired, 3
to. 3
toll 3
tongue 3
touches 3
tried 3
trouble. 3
tune 3
turning 3
twenty 3
understand. 3
understands 3
unwraps 3
uses 3
view 3
village 3
waiting; 3
waits 3
wall. 3
wanna 3
watchful 3
way. 3
weapon. 3
wearing 3
wedding. 3
wet. 3
wheel 3
whom 3
wife, 3
will. 3
woman 3
word 3
word. 3
work 3
work. 3
world 3
year 3
yellow 3
yet. 3
you... 3
'46) 2
(after 2
(almost 2
(calling 2
(calmly) 2
(coldly) 2
(desperately) 2
(gently) 2
(in 2
(nods) 2
----------------------------------------FADE 2
-------------------------------------FADE 2
12 2
2 2
3 2
4TH 2
ADAMS 2
AIRPLANE 2
ALLEY 2
AMERIGO 2
AND 2
ANTHONY 2
APPOLONIA. 2
ASSASSINS 2
Act 2
Ah 2
Al 2
Alpha 2
Also, 2
America? 2
American. 2
Appolonia. 2
Are 2
BALCONY 2
BARONIAL 2
BARZINI, 2
BODYGUARDS, 2
BONASERA'S 2
BONASERA's 2
BONASERA, 2
BOOTHS 2
BRASI. 2
BUTTONMEN 2
Bad 2
Barzini's 2
Barzini; 2
Both 2
Brasi's 2
CAPOREGIMES 2
CAUSEWAY 2
CHILDREN, 2
CITY 2
COACH, 2
COP 2
CORRIDOR 2
CROWD 2
CUNEO, 2
Cadillac 2
California 2
Calo 2
Calo? 2
Capone 2
Captain 2
Captain. 2
Carlo 2
Causeway, 2
Certainly 2
Children 2
Christ 2
Church 2
City. 2
Clean 2
Clemenza, 2
Connie's 2
Connie... 2
Consigliere 2
Constellation. 2
Corleone... 2
Corleone? 2
Corleones 2
Court 2
Cut 2
DETECTIVES 2
DETECTIVES. 2
DON. 2
DRIVER. 2
Daily 2
ENZO, 2
ESTATE 2
Easter 2
English. 2
Everybody 2
FABRIZZIO, 2
FABRIZZIO. 2
FATHER. 2
FIFTH 2
FLOOR 2
FONTANE, 2
FOUR 2
Families 2
Find 2
First 2
Francesco 2
Fredo 2
Further 2
GIRLS 2
GREENE 2
GUNSHOTS. 2
George 2
God 2
Goddamn 2
Godfather... 2
Good 2
Goodbye. 2
Grand 2
HAGEN) 2
HALLWAY 2
HOME 2
Hagen 2
Heaven, 2
Hell, 2
Hello. 2
Hello? 2
Here. 2
Holy 2
Hundreds 2
INT. 2
Ingrid 2
Italian, 2
Italian. 2
JOHNNY. 2
Jesus 2
Jesus, 2
Johnny's 2
Johnny, 2
Justice. 2
KAY's 2
KAY) 2
LAS 2
LOBBY 2
LUCA, 2
LUCY's 2
Las 2
Leave 2
Let's 2
Like 2
Lincoln. 2
Looks 2
Luca's 2
Luca, 2
MALL, 2
MEN, 2
MICHAEL; 2
MONSIGNOR 2
MORE 2
MOTHER 2
MOTHER, 2
MRS. 2
MURDER 2
MUSIC 2
Ma, 2
Many 2
McCLUSKEY's 2
Mike! 2
Mike's 2
Mikey; 2
Morning. 2
Most 2
Mr. 2
NEGRO 2
NIGHTCLUB 2
Nazorine, 2
News. 2
Nice 2
Nightclub, 2
OFFICES 2
OUT-------- 2
OUT----------- 2
Oil 2
Okay, 2
Olive 2
Once 2
Our 2
Outside, 2
PANS 2
PARAMOUNT 2
PASSES 2
PETER 2
PHILIP 2
PIZZA 2
PRIVATE 2
PROPRIETOR 2
Part 2
Paulie's 2
Paulie? 2
People 2
Pick 2
Pop's 2
Pop, 2
Pop. 2
President 2
Probably 2
RADIO 2
RAGS 2
RIZZI. 2
Right, 2
Right. 2
Rocco, 2
Rockefeller 2
Roman 2
Room 2
SALLY 2
SICILY 2
SILENCE. 2
SOME 2
SUBWAY 2
Santino, 2
Several 2
She'll 2
Should 2
Sicilian. 2
Sicily 2
Sicily, 2
Sicily. 2
Sit 2
Sollozzo's 2
Some 2
Somebody 2
Suddenly 2
TABLES 2
THERESA 2
TO 2
TOLL 2
TUNNEL 2
Take 2
Talk 2
Tattaglia's 2
Tattaglia. 2
Tessio, 2
Tessio. 2
Thank 2
Thanks. 2
Times 2
To 2
Tom; 2
Tom? 2
Tommassino. 2
Turk. 2
Turkey 2
Turns 2
VEGAS 2
VIEW, 2
VITELLI, 2
Vegas 2
Very 2
Vitelli 2
WIFE, 2
WOMAN 2
WOMEN, 2
WOMEN. 2
Washington 2
Well 2
West 2
Woltz 2
Would 2
YOUNG 2
Young 2
above 2
abundant 2
accidentally 2
action, 2
adjusting 2
adjusts 2
affair, 2
affairs, 2
affectionately. 2
afraid 2
again 2
again? 2
agree 2
agreed 2
ahead 2
air 2
all? 2
alley. 2
already 2
also 2
although 2
ambulance 2
among 2
ancient 2
angry. 2
animal 2
animals 2
another. 2
answer 2
answers 2
anyone 2
appears 2
area 2
areas 2
arm, 2
arms, 2
around, 2
aside 2
asked 2
asks 2
asleep 2
asleep. 2
ass 2
attached 2
attempt 2
attempts 2
attendant 2
attention 2
automobile 2
available 2
avoid 2
baby! 2
baby. 2
baby; 2
bad. 2
bag 2
baggy 2
bandstand, 2
bar 2
bar, 2
bar. 2
baskets, 2
bath 2
bathed 2
bathroom. 2
be, 2
be. 2
beaming 2
beats 2
beautiful. 2
beautifully 2
becomes 2
bedsheets. 2
beer 2
belt 2
bill, 2
bird 2
bitch, 2
black. 2
blame 2
blesses 2
blocking 2
blocks 2
blown 2
